Name,Date time,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Ambattur, Chennai, TN, India",01-01-21 12:30,80,,,0,0,,,15.9,17.4,15,93,64,Overcast
"Ambattur, Chennai, TN, India",01-01-21 13:30,79.4,,,0,0,,,16.3,18.1,15,96,65.3,Overcast
"Ambattur, Chennai, TN, India",01-01-21 14:30,79.6,,,0,0,,,16.3,18.3,15,95,64.5,Overcast
"Ambattur, Chennai, TN, India",01-01-21 15:30,79.2,,,0,0,,,16.8,18.8,15,96,65.8,Overcast
"Ambattur, Chennai, TN, India",01-01-21 16:30,78.7,,,0,0,,,16.1,18.3,15,89,66.6,Overcast
"Ambattur, Chennai, TN, India",01-01-21 17:30,77.8,,,0,0,,,15.4,18.1,15,75,68.9,Partially cloudy
"Ambattur, Chennai, TN, India",01-01-21 18:30,76.9,,,0,0,,,14.3,17.7,15,14,70.4,Clear
"Ambattur, Chennai, TN, India",01-01-21 19:30,76.7,,,0,0,,,13.2,16.6,15,17,71.4,Clear
"Ambattur, Chennai, TN, India",01-01-21 20:30,76.4,,,0,0,,,12.3,15.7,15,20,72.4,Clear
"Ambattur, Chennai, TN, India",01-01-21 21:30,76.6,,,0,0,,,11,14.3,15,34,72.5,Partially cloudy
"Ambattur, Chennai, TN, India",01-01-21 22:30,76.7,,,0,0,,,10.7,14.1,15,46,72.5,Partially cloudy
"Ambattur, Chennai, TN, India",01-01-21 23:30,76.2,,,0,0,,,10.5,13.6,15,49,74.3,Partially cloudy
"Ambattur, Chennai, TN, India",01-02-21 0:30,76.2,,,0,0,,,10.1,13.2,15,34,75.1,Partially cloudy
"Ambattur, Chennai, TN, India",01-02-21 1:30,76.4,,,0,0,,,10.3,13.4,15,55,75.5,Partially cloudy
"Ambattur, Chennai, TN, India",01-02-21 2:30,76.4,,,0,0,,,10.5,13.9,15,69,76.8,Partially cloudy
"Ambattur, Chennai, TN, India",01-02-21 3:30,75.8,,,0,0,,,11.2,15,15,70,78.5,Partially cloudy
"Ambattur, Chennai, TN, India",01-02-21 4:30,75.1,,,0,0,,,10.5,14.5,15,56,80.5,Partially cloudy
"Ambattur, Chennai, TN, India",01-02-21 5:30,75.3,,,0,0,,,11,15.2,15,54,80,Partially cloudy
"Ambattur, Chennai, TN, India",01-02-21 6:30,75.6,,,38,0,,,11.2,15.9,13.9,98,79.6,Overcast
"Ambattur, Chennai, TN, India",01-02-21 7:30,76.2,,,38,0,,,12.5,17,15,99,80.3,Overcast
"Ambattur, Chennai, TN, India",01-02-21 8:30,76.9,,,38,0,,,14.5,18.6,14.4,99,80,Overcast
"Ambattur, Chennai, TN, India",01-02-21 9:30,77.4,,,38,0.01,,,16.1,19.7,13.5,99,79,Overcast
"Ambattur, Chennai, TN, India",01-02-21 10:30,78,,,38,0,,,16.3,20.1,14.7,100,77.9,Overcast
"Ambattur, Chennai, TN, India",01-02-21 11:30,79.1,,,38,0.01,,,16.6,19.7,11.5,98,75.9,Overcast
"Ambattur, Chennai, TN, India",01-02-21 12:30,79.2,,,66.6,0.01,,,17.2,19.9,10.9,87,75.6,"Rain, Overcast"
"Ambattur, Chennai, TN, India",01-02-21 13:30,79.6,,,66.6,0.02,,,17.9,20.6,12.5,85,75.3,"Rain, Overcast"
"Ambattur, Chennai, TN, India",01-02-21 14:30,79.2,,,66.6,0.02,,,18.1,21,10.7,82,75.8,"Rain, Overcast"
"Ambattur, Chennai, TN, India",01-02-21 15:30,78.9,,,66.6,0.01,,,17.7,21,14,86,76.6,"Rain, Overcast"
"Ambattur, Chennai, TN, India",01-02-21 16:30,78.3,,,66.6,0.01,,,17,20.8,13.4,88,77.4,"Rain, Overcast"
"Ambattur, Chennai, TN, India",01-02-21 17:30,78,,,66.6,0,,,17.2,21.3,15,90,78.5,"Rain, Overcast"
"Ambattur, Chennai, TN, India",01-02-21 18:30,77.8,,,33.2,0,,,16.8,21,15,98,78.5,Overcast
"Ambattur, Chennai, TN, India",01-02-21 19:30,77.8,,,33.2,0,,,15.9,20.1,15,99,77.9,Overcast
"Ambattur, Chennai, TN, India",01-02-21 20:30,77.8,,,33.2,0,,,14.8,19,15,99,77.5,Overcast
"Ambattur, Chennai, TN, India",01-02-21 21:30,77.3,,,33.2,0,,,13.4,17.7,15,85,78.5,Overcast
"Ambattur, Chennai, TN, India",01-02-21 22:30,77.1,,,33.2,0,,,13.4,17.7,15,82,79.9,Overcast
"Ambattur, Chennai, TN, India",01-02-21 23:30,77.1,,,33.2,0,,,13.9,18.3,15,85,80.5,Overcast
"Ambattur, Chennai, TN, India",01-03-21 0:30,76.9,,,42.9,0,,,14.1,18.6,15,100,80.9,Overcast
"Ambattur, Chennai, TN, India",01-03-21 1:30,76.7,,,42.9,0,,,14.3,18.6,15,100,81,Overcast
"Ambattur, Chennai, TN, India",01-03-21 2:30,76.6,,,42.9,0,,,13.9,18.1,15,100,81,Overcast
"Ambattur, Chennai, TN, India",01-03-21 3:30,76.4,,,42.9,0,,,13.4,17.4,15,100,81.5,Overcast
"Ambattur, Chennai, TN, India",01-03-21 4:30,76.2,,,42.9,0,,,13.6,17.7,15,94,82,Overcast
"Ambattur, Chennai, TN, India",01-03-21 5:30,76.2,,,42.9,0,,,13.4,17.7,15,83,81.5,Overcast
"Ambattur, Chennai, TN, India",01-03-21 6:30,76.2,,,38,0,,,13,17.7,15,10,81.1,Clear
"Ambattur, Chennai, TN, India",01-03-21 7:30,76.9,,,38,0,,,13.2,17,15,6,79.5,Clear
"Ambattur, Chennai, TN, India",01-03-21 8:30,78.2,,,38,0,,,14.1,16.8,15,7,77,Clear
"Ambattur, Chennai, TN, India",01-03-21 9:30,78.9,,,38,0,,,14.8,17.2,15,28,75.9,Partially cloudy
"Ambattur, Chennai, TN, India",01-03-21 10:30,79.1,,,38,0.01,,,14.8,17.4,15,42,75.9,Partially cloudy
"Ambattur, Chennai, TN, India",01-03-21 11:30,79.4,,,38,0,,,15.2,17.7,15,52,75.8,Partially cloudy
"Ambattur, Chennai, TN, India",01-03-21 12:30,80.1,,83.7,38,0.01,,,15.9,17.9,13.3,82,74,Overcast
"Ambattur, Chennai, TN, India",01-03-21 13:30,79.8,,,38,0.01,,,15.9,17.9,14.5,90,74.6,Overcast
"Ambattur, Chennai, TN, India",01-03-21 14:30,79.2,,,38,0.01,,,15.9,18.1,14.6,93,76,Overcast
"Ambattur, Chennai, TN, India",01-03-21 15:30,78.7,,,38,0.01,,,15.9,18.6,14.8,95,77.1,Overcast
"Ambattur, Chennai, TN, India",01-03-21 16:30,78.3,,,38,0.01,,,15.2,18.6,13,96,78.4,Overcast
